node_index,original_id,community
0,Beak,0
1,Beescratch,1
2,Bumper,0
3,CCL,2
4,Cross,3
5,DN16,1
6,DN21,1
7,DN63,1
8,Double,2
9,Feather,1
10,Fish,0
11,Five,3
12,Fork,2
13,Gallatin,1
14,Grin,2
15,Haecksel,3
16,Hook,2
17,Jet,1
18,Jonah,3
19,Knit,1
20,Kringel,2
21,MN105,3
22,MN23,1
23,MN60,3
24,MN83,3
25,Mus,1
26,Notch,1
27,Number1,1
28,Oscar,0
29,Patchback,3
30,PL,0
31,Quasi,1
32,Ripplefluke,1
33,Scabs,2
34,Shmuddel,2
35,SMN5,3
36,SN100,2
37,SN4,2
38,SN63,2
39,SN89,1
40,SN9,2
41,SN90,1
42,SN96,0
43,Stripes,2
44,Thumper,2
45,Topless,3
46,TR120,2
47,TR77,0
48,TR82,1
49,TR88,2
50,TR99,2
51,Trigger,3
52,TSN103,2
53,TSN83,2
54,Upbang,1
55,Vau,3
56,Wave,1
57,Web,1
58,Whitetip,2
59,Zap,2
60,Zig,1
61,Zipfel,2
