node_index,original_id,community
0,0,0
1,1,1
2,2,2
3,3,3
4,4,0
5,5,3
6,6,2
7,7,0
8,8,0
9,9,0
10,10,3
11,11,4
12,12,5
13,13,2
14,14,5
15,15,2
16,16,0
17,17,6
18,18,5
19,19,7
20,20,6
21,21,0
22,22,0
23,23,0
24,24,4
25,25,1
26,26,5
27,27,6
28,28,4
29,29,7
30,30,7
31,31,5
32,32,2
33,33,1
34,34,5
35,35,7
36,36,5
37,37,1
38,38,5
39,39,2
40,40,3
41,41,0
42,42,5
43,43,5
44,44,8
45,45,1
46,46,9
47,47,2
48,48,8
49,49,9
50,50,4
51,51,0
52,52,3
53,53,9
54,54,5
55,55,7
56,56,6
57,57,8
58,58,6
59,59,6
60,60,2
61,61,5
62,62,6
63,63,6
64,64,2
65,65,6
66,66,8
67,67,9
68,68,0
69,69,4
70,70,6
71,71,5
72,72,3
73,73,9
74,74,3
75,75,8
76,76,6
77,77,0
78,78,0
79,79,7
80,80,7
81,81,3
82,82,7
83,83,9
84,84,3
85,85,5
86,86,8
87,87,6
88,88,9
89,89,1
90,90,4
91,91,8
92,92,8
93,93,0
94,94,7
95,95,6
96,96,6
97,97,6
98,98,3
99,99,5
100,100,2
101,101,7
102,102,3
103,103,1
104,104,0
105,105,1
106,106,2
107,107,3
108,108,0
109,109,1
110,110,9
111,111,0
112,112,8
113,113,6
114,114,9
