node_index,original_id,community
0,1000 Years for Revenge,0
1,Bush vs. the Beltway,0
2,Charlie Wilson's War,0
3,Losing Bin Laden,1
4,Sleeping With the Devil,0
5,The Man Who Warned America,0
6,Why America Slept,0
7,Ghost Wars,0
8,A National Party No More,1
9,Bush Country,1
10,Dereliction of Duty,1
11,Legacy,1
12,Off with Their Heads,1
13,Persecution,1
14,Rumsfeld's War,1
15,Breakdown,1
16,Betrayal,1
17,Shut Up and Sing,1
18,Meant To Be,1
19,The Right Man,1
20,Ten Minutes from Normal,1
21,Hillary's Scheme,1
22,The French Betrayal of America,1
23,Tales from the Left Coast,1
24,Hating America,1
25,The Third Terrorist,1
26,Endgame,1
27,Spin Sisters,1
28,All the Shah's Men,2
29,Dangerous Dimplomacy,0
30,The Price of Loyalty,2
31,"House of Bush, House of Saud",2
32,The Death of Right and Wrong,1
33,Useful Idiots,1
34,The O'Reilly Factor,1
35,Let Freedom Ring,1
36,Those Who Trespass,1
37,Bias,1
38,Slander,1
39,The Savage Nation,1
40,Deliver Us from Evil,1
41,Give Me a Break,1
42,The Enemy Within,1
43,The Real America,1
44,Who's Looking Out for You?,1
45,The Official Handbook Vast Right Wing Conspiracy,1
46,Power Plays,1
47,Arrogance,1
48,The Perfect Wife,1
49,The Bushes,1
50,Things Worth Fighting For,1
51,"Surprise, Security, the American Experience",3
52,Allies,3
53,Why Courage Matters,1
54,Hollywood Interrupted,1
55,Fighting Back,1
56,We Will Prevail,1
57,The Faith of George W Bush,1
58,Rise of the Vulcans,3
59,Downsize This!,2
60,Stupid White Men,2
61,Rush Limbaugh Is a Big Fat Idiot,2
62,The Best Democracy Money Can Buy,2
63,The Culture of Fear,2
64,America Unbound,3
65,The Choice,3
66,The Great Unraveling,2
67,Rogue Nation,4
68,Soft Power,3
69,Colossus,3
70,The Sorrows of Empire,2
71,Against All Enemies,2
72,American Dynasty,2
73,Big Lies,2
74,The Lies of George W. Bush,2
75,Worse Than Watergate,2
76,Plan of Attack,2
77,Bush at War,2
78,The New Pearl Harbor,2
79,Bushwomen,2
80,The Bubble of American Supremacy,2
81,Living History,2
82,The Politics of Truth,2
83,Fanatics and Fools,2
84,Bushwhacked,2
85,Disarming Iraq,2
86,Lies and the Lying Liars Who Tell Them,2
87,MoveOn's 50 Ways to Love Your Country,2
88,The Buying of the President 2004,2
89,Perfectly Legal,2
90,Hegemony or Survival,2
91,The Exception to the Rulers,2
92,Freethinkers,2
93,Had Enough?,2
94,"It's Still the Economy, Stupid!",2
95,We're Right They're Wrong,2
96,What Liberal Media?,2
97,The Clinton Wars,2
98,Weapons of Mass Deception,2
99,"Dude, Where's My Country?",2
100,Thieves in High Places,2
101,Shrub,2
102,Buck Up Suck Up,2
103,The Future of Freedom,4
104,Empire,4
